lat,lon,ndvi,temperatura,precipitacion,viento_u,viento_v,elevation,pendiente,cobertura
7.029317098235255,-77.63689843002965,0.6920277777777778,24.9517190690579,7.897218048584295,0.03278605031694154,0.006508738514165489,157,1.3779393,10
7.029317098235255,-77.59198266582366,0.7382796296296297,24.9517190690579,7.897218048584295,0.03278605031694154,0.006508738514165489,274,0.6123784,10
7.029317098235255,-77.5470669016177,0.7452777777777778,24.94935921348207,7.6549046792560205,-0.04406622902439091,-0.10804534294704812,121,1.4027272,10
7.029317098235255,-77.50215113741172,0.746125925925926,24.94935921348207,7.6549046792560205,-0.04406622902439091,-0.10804534294704812,106,0.49058807,10
7.029317098235255,-77.45723537320573,0.7677296296296297,24.94935921348207,7.6549046792560205,-0.04406622902439091,-0.10804534294704812,199,0.91141766,10
7.029317098235255,-77.41231960899977,0.7024370370370371,25.276074907377847,7.450056381226354,-0.12287936397411882,-0.22365084681293207,169,1.6912698,10
7.029317098235255,-77.36740384479378,0.6635240740740741,25.276074907377847,7.450056381226354,-0.12287936397411882,-0.22365084681293207,225,1.2267618,10
7.029317098235255,-77.32248808058782,0.6377759259259259,25.39166599838893,7.402393781106811,-0.15525398424527037,-0.3040163680472002,148,1.4083592,10
7.029317098235255,-77.27757231638184,0.6181296296296297,25.39166599838893,7.402393781106811,-0.15525398424527037,-0.3040163680472002,38,0.07265884,10
7.029317098235255,-77.23265655217585,0.6057870370370371,25.635217631148294,7.563549642775384,-0.12858555019276374,-0.3395091168558504,53,1.4423342,10
7.029317098235255,-77.18774078796989,0.509137037037037,25.635217631148294,7.563549642775384,-0.12858555019276374,-0.3395091168558504,229,0.8639939,10
7.029317098235255,-77.1428250237639,0.6217222222222223,26.127812475400276,7.759907980804988,-0.09839660389565541,-0.37341755972346696,137,1.4851354,10
7.029317098235255,-77.09790925955792,0.5972796296296297,26.127812475400276,7.759907980804988,-0.09839660389565541,-0.37341755972346696,52,0.18264826,10
7.029317098235255,-77.05299349535196,0.5934425925925927,26.127812475400276,7.759907980804988,-0.09839660389565541,-0.37341755972346696,11,0.32982045,10
7.029317098235255,-77.00807773114597,0.4458425925925926,26.076287689177036,7.682293219537149,-0.08844062012178469,-0.3672335076941373,7,0.04653504,10
7.074232862441232,-77.7267299584416,0.6593944444444445,25.379936474971714,6.518726215571071,0.1513197842031828,0.09179710606059759,16,0.46166563,10
7.074232862441232,-77.68181419423561,0.7285777777777778,25.379936474971714,6.518726215571071,0.1513197842031828,0.09179710606059759,50,0.9202065,10
7.074232862441232,-77.63689843002965,0.7176037037037037,24.7451924308981,7.262443595254945,-0.03485068752518943,-0.05082141072902244,126,1.4098624,10
